epoch,train_loss,train_nll,train_mmd,train_graph_l1,train_acyclicity,val_mse,val_mae,val_mmd,val_energy_distance,val_mean_gene_correlation,val_coverage_90
1.0,0.23120300968488058,0.0717719489087661,0.637687474489212,0.018334102506438892,0.00018564860026041666,0.1563996821641922,0.3266765922307968,0.604946106672287,1.8989176154136658,0.2623385184416714,1.0
2.0,0.13393720984458923,-0.022636401855076354,0.6262571414311727,0.018609154348572094,0.00021870930989583334,0.1651098132133484,0.32425591349601746,0.6285880506038666,1.9878450632095337,0.29453853999373236,0.99603271484375
3.0,-0.09115142912681524,-0.22642438113689423,0.5410505334536234,0.020567582299311955,0.0003197987874348958,0.14205225557088852,0.29948753118515015,0.5248739719390869,1.636295199394226,0.3102368612542049,0.9382527470588684
4.0,-0.3243556370337804,-0.42566757400830585,0.40520045657952625,0.023548440386851627,0.0004952748616536459,0.13457801938056946,0.2915269583463669,0.5121059864759445,1.5002678632736206,0.3912609885500022,0.9622802734375
5.0,-0.44363437096277875,-0.5360875725746155,0.3697585066159566,0.026996548287570477,0.0007960001627604166,0.11236261203885078,0.25958487391471863,0.4021933078765869,1.0606457889080048,0.5154280392473254,0.97552490234375
6.0,-0.5405931770801544,-0.6117094059785207,0.2844032148520152,0.030596279849608738,0.0012842814127604167,0.10111404582858086,0.2414502426981926,0.3027866780757904,0.8078646063804626,0.544872131978837,0.9750569760799408
7.0,-0.6202612121899923,-0.6806840399901072,0.24162532885869345,0.03262671766181787,0.0016256968180338542,0.09552523866295815,0.2352445423603058,0.28670811653137207,0.7796862125396729,0.5782662356292082,0.9698893129825592
8.0,-0.6897514661153158,-0.743463416894277,0.2147800624370575,0.033522392312685646,0.0018113454182942708,0.08606692776083946,0.22021353244781494,0.2486245185136795,0.6820208728313446,0.6271821681455974,0.9737752377986908
9.0,-0.7446340421835581,-0.7940670152505239,0.19766326248645782,0.03399150756498178,0.0019423166910807292,0.08196838200092316,0.21308033913373947,0.22210731357336044,0.6159304082393646,0.6484472234546644,0.9593912959098816
10.0,-0.7870221436023712,-0.8338740766048431,0.18733769158522287,0.03457598822812239,0.0021514892578125,0.07535527274012566,0.204966738820076,0.20042870193719864,0.5464267581701279,0.6909606888111746,0.9560546875
11.0,-0.8279818197091421,-0.8707303702831268,0.17092294742663702,0.03516365525623163,0.0023701985677083335,0.06750224158167839,0.19181585311889648,0.16887862235307693,0.46608759462833405,0.7247216974686876,0.9594523012638092
12.0,-0.8711073199907938,-0.9076038201649984,0.1459138219555219,0.03559565792481104,0.0025463104248046875,0.0634563509374857,0.18750309944152832,0.1513860747218132,0.4366016834974289,0.7422597897307507,0.9587809145450592
13.0,-0.9032459358374277,-0.9384584228197733,0.1407778486609459,0.03555567003786564,0.002528508504231771,0.061605995520949364,0.18433696031570435,0.14596955105662346,0.4267968684434891,0.7500481969141889,0.9611002504825592
